name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;252;0;275;3075;1067;3075;1044;0
header;235;102;235;132;1852;132;1852;102
A;1027;170;1027;196;1047;196;1047;170
B;708;171;708;188;722;188;722;171
A;1030;343;1030;343;1030;343;1030;343
B;1027;832;1027;859;1046;859;1046;832
A;998;1084;998;1090;1006;1090;1006;1084
B;908;1169;908;1187;923;1187;923;1169
C;1019;1505;1019;1534;1040;1534;1040;1505
B;705;2034;705;2051;719;2051;719;2034
D;1021;2175;1021;2202;1040;2202;1040;2175
B;674;2399;674;2417;689;2417;689;2399
A;1025;2770;1025;2772;1028;2772;1028;2770
